"Id","SalePrice"
1461,121994.395169688
1462,158948.175529667
1463,180402.278375824
1464,195141.976339534
1465,186544.859705762
1466,174186.939609893
1467,174554.003316072
1468,167499.386060587
1469,191077.350976996
1470,119380.394904136
1471,200126.599235438
1472,95685.4227083045
1473,95772.5000550176
1474,152002.459338109
1475,122611.99339248
1476,364888.700484407
1477,256337.751414799
1478,280427.085477373
1479,268000.927146145
1480,485795.966496944
1481,309738.524418599
1482,204590.739578526
1483,174706.44490437
1484,164139.996085559
1485,187056.862775544
1486,199564.004594033
1487,304276.70240467
1488,234805.793622422
1489,200001.967154318
1490,209409.217910621
1491,191352.360439169
1492,93826.7530292433
1493,163946.318244477
1494,300285.749902999
1495,292866.786885967
1496,228187.590777249
1497,186281.047762267
1498,163889.050071448
1499,157254.447317823
1500,148519.616374762
1501,178154.099706282
1502,152118.949238923
1503,281917.735576463
1504,234057.646918043
1505,218224.352849521
1506,185564.837722195
1507,260734.447761653
1508,206983.188555765
1509,163707.229444431
1510,144952.07688941
1511,152959.378208653
1512,175138.541032322
1513,142858.334097544
1514,162093.863181699
1515,210427.689807413
1516,158995.257939396
1517,167705.99886654
1518,131916.313465381
1519,222914.967628689
1520,134637.388684546
1521,138167.917800795
1522,177799.369626194
1523,115310.343775506
1524,123846.018239557
1525,127083.87994062
1526,116684.207344363
1527,108958.204432737
1528,135315.523801646
1529,147756.329062782
1530,179296.488266468
1531,114907.496236215
1532,103343.515124339
1533,153736.795851319
1534,124666.794036661
1535,150652.237778685
1536,107200.994701734
1537,68683.964882382
1538,150858.283799911
1539,203543.787149916
1540,92570.7237925006
1541,142461.431096426
1542,138261.538444924
1543,209960.274308837
1544,84926.0509398881
1545,109765.652936431
1546,129076.383687373
1547,136023.858533756
1548,132115.134196788
1549,110686.538245731
1550,134711.394604119
1551,114805.607464677
1552,134161.111252596
1553,141838.145013242
1554,117660.471187148
1555,161194.00956278
1556,89463.5780716315
1557,111574.686513821
1558,96600.1930578912
1559,75109.8473425957
1560,140984.22410269
1561,122215.790815355
1562,131239.230559647
1563,119317.431038536
1564,160983.95955309
1565,147594.012569725
1566,234940.882104345
1567,77472.5869241466
1568,235003.312051077
1569,131690.128154714
1570,140128.577466405
1571,127392.306939347
1572,146985.284022084
1573,244972.41434178
1574,119783.067827506
1575,214486.617176862
1576,231277.993026941
1577,189314.582269439
1578,149777.541688752
1579,146071.550542136
1580,193678.660388954
1581,147956.537414282
1582,126589.356727039
1583,335033.309598536
1584,224647.259762364
1585,138232.937310055
1586,76242.8799731644
1587,102151.254627783
1588,149932.359611686
1589,94621.4385946491
1590,140386.618409621
1591,98952.0017481953
1592,114085.740297204
1593,123825.695188179
1594,131469.405464763
1595,108760.077734099
1596,218811.303546511
1597,171764.288085595
1598,204936.173153886
1599,176873.896286294
1600,169053.534712581
1601,71935.7153833175
1602,108713.689766209
1603,85346.5487657565
1604,245988.461568941
1605,255032.563492472
1606,173475.230247435
1607,176029.154772169
1608,210592.364146605
1609,195418.269369169
1610,150842.08950175
1611,144409.400555969
1612,168113.974337814
1613,163518.811854528
1614,118111.983705857
1615,89082.7016786945
1616,80527.999091259
1617,95615.9934698717
1618,128947.005061883
1619,142096.317738058
1620,165665.651909939
1621,141373.08042063
1622,138848.83817888
1623,284224.642037088
1624,215295.186894062
1625,126078.710960584
1626,172193.331539192
1627,188007.442007954
1628,282508.552400868
1629,177375.853810377
1630,353942.907953685
1631,207289.323551518
1632,242050.449308782
1633,170025.261908999
1634,182602.460066735
1635,181172.716235144
1636,155395.188296476
1637,190702.911911259
1638,190854.91374459
1639,186158.941147886
1640,267822.587329687
1641,184272.058404947
1642,230544.618651334
1643,221005.95846301
1644,227304.887983891
1645,193236.107726287
1646,158184.921019734
1647,163938.938642861
1648,131380.420204272
1649,138723.73891249
1650,114578.74079572
1651,122284.550658576
1652,98746.6803763745
1653,102218.934844233
1654,148763.480978371
1655,145174.453507336
1656,142179.869774798
1657,149571.692577944
1658,145022.356530172
1659,133711.159661637
1660,151186.555568908
1661,460649.03182794
1662,399609.460428053
1663,371251.521700764
1664,501578.283849027
1665,296070.100225236
1666,327960.981263062
1667,351219.470902462
1668,322205.358993714
1669,287428.642003349
1670,339801.181948358
1671,263611.47634554
1672,455198.534827465
1673,298949.657155504
1674,243151.705372189
1675,187470.358829027
1676,184256.735532732
1677,216388.363003021
1678,468075.551687814
1679,373092.033790693
1680,321935.214146721
1681,233041.474359832
1682,294342.173997429
1683,184396.132544795
1684,176573.318618662
1685,174261.727999885
1686,168857.306153016
1687,174580.302484846
1688,194002.094442056
1689,192596.113888312
1690,197476.930261706
1691,182018.524095287
1692,256514.987592368
1693,170955.47809234
1694,180132.667364537
1695,170705.412166361
1696,283221.653378037
1697,176406.275203693
1698,357434.899744453
1699,320727.983396534
1700,239470.028402767
1701,267212.267490265
1702,250670.751319599
1703,247861.21607142
1704,295678.134248044
1705,219758.034978781
